date,sales
2023-01-30,3500
2023-01-31,4000
2023-02-01,3500
2023-02-02,4500
2023-02-03,6000
2023-02-04,4000
2023-02-05,5000
2023-02-06,4500
2023-02-07,4000
2023-02-08,3500
2023-02-09,4000
2023-02-10,6000
2023-02-11,3000
2023-02-12,4000
2023-02-13,4500
2023-02-14,4000
2023-02-15,3800
2023-02-16,3000
2023-02-17,4500
2023-02-18,3500
2023-02-19,3700
2023-02-20,3800
2023-02-21,4000
2023-02-22,5000
2023-02-23,3500
2023-02-24,5000
2023-02-25,3000
2023-02-26,3500
2023-02-27,4000
2023-02-28,4500
2023-03-01,5000
2023-03-02,4000
2023-03-03,4000
2023-03-04,6000
2023-03-05,4000
2023-03-06,5000
2023-03-07,5000
2023-03-08,4000
2023-03-09,5000
2023-03-10,3000
2023-03-11,3500
2023-03-12,3000
2023-03-13,4000
2023-03-14,3700
2023-03-15,3000
2023-03-16,4000
2023-03-17,4500
2023-03-18,3000
2023-03-19,4500
2023-03-20,4000
2023-03-21,3500
2023-03-22,3000
2023-03-23,4000
2023-03-24,3000
2023-03-25,3500
2023-03-26,3000
2023-03-27,3200
2023-03-28,3000
2023-03-29,3500
2023-03-30,4000
2023-03-31,2000
2023-04-01,3500
2023-04-02,4000
2023-04-03,2700
2023-04-04,3000
2023-04-05,2500
2023-04-06,3000
2023-04-07,3500
2023-04-08,2800
2023-04-09,3200
2023-04-10,3000
2023-04-11,2500
2023-04-12,2000
2023-04-13,1700
2023-04-14,3500
2023-04-15,3000
2023-04-16,3500
2023-04-17,3000
2023-04-18,4000
2023-04-19,4500
2023-04-20,5000
2023-04-21,8500
2023-04-22,3000
2023-04-23,3600
2023-04-24,4200
2023-04-25,3500
2023-04-26,3000
2023-04-27,3000
2023-04-28,2600
2023-04-29,3000
2023-04-30,3500
2023-05-01,4000
2023-05-02,4200
2023-05-03,4300
2023-05-04,4000
2023-05-05,3500
2023-05-06,3000
2023-05-07,4000
2023-05-08,3500
2023-05-09,4500
2023-05-10,3200
2023-05-11,2800
2023-05-12,3000
2023-05-13,3500
2023-05-14,3000
2023-05-15,4000
2023-05-16,2500
2023-05-17,3000
2023-05-18,2800
2023-05-19,3000
2023-05-20,3200
2023-05-21,2700
2023-05-22,2500
2023-05-23,2000
2023-05-24,2500
2023-05-25,2800
2023-05-26,3100
2023-05-27,2500
2023-05-28,3000
2023-05-29,2500
2023-05-30,3500
2023-05-31,3000
2023-06-01,2500
2023-06-02,3200
2023-06-03,3000
2023-06-04,2500
2023-06-05,3000
2023-06-06,3000
2023-06-07,6000
2023-06-08,13000
2023-06-09,9000
2023-06-10,13000
2023-06-11,5500
2023-06-12,6000
2023-06-13,5200
2023-06-14,5000
2023-06-15,7000
2023-06-16,6000
2023-06-17,5000
2023-06-18,5500
2023-06-19,4000
2023-06-20,3000
2023-06-21,5000
2023-06-22,6000
2023-06-23,4000
2023-06-24,5000
2023-06-25,4000
2023-06-26,4500
2023-06-27,4500
2023-06-28,3000
2023-06-29,4000
2023-06-30,3000
2023-07-01,5000
2023-07-02,4000
2023-07-03,4500
2023-07-04,4000
2023-07-05,4500
2023-07-06,4000
2023-07-07,3000
2023-07-08,5000
2023-07-09,3000
2023-07-10,4000
2023-07-11,3500
2023-07-12,4500
2023-07-13,4000
2023-07-14,3500
2023-07-15,4000
2023-07-16,4000
2023-07-17,2000
2023-07-18,1000
2023-07-19,2000
2023-07-20,1500
2023-07-21,3000
2023-07-22,4500
2023-07-23,2500
2023-07-24,3000
2023-07-25,2800
2023-07-26,3000
2023-07-27,4000
2023-07-28,3000
2023-07-29,3500
2023-07-30,3700
2023-07-31,3500
2023-08-01,3000
2023-08-02,4000
2023-08-03,4200
2023-08-04,2000
2023-08-05,2300
2023-08-06,3000
2023-08-07,2500
2023-08-08,2800
2023-08-09,3000
2023-08-10,3500
2023-08-11,4000
2023-08-12,3500
2023-08-13,3000
2023-08-14,3500
2023-08-15,5000
2023-08-16,3000
2023-08-17,3500
2023-08-18,3000
2023-08-19,4000
2023-08-20,3500
2023-08-21,3000
2023-08-22,2500
2023-08-23,3500
2023-08-24,3000
2023-08-25,2500
2023-08-26,2800
2023-08-27,3000
2023-08-28,4000
2023-08-29,6000
2023-08-30,5000
2023-08-31,4500
2023-09-01,7000
2023-09-02,5000
2023-09-03,3000
2023-09-04,3500
2023-09-05,3200
2023-09-06,3000
2023-09-07,2500
2023-09-08,3000
2023-09-09,2500
2023-09-10,3500
2023-09-11,3000
2023-09-12,3200
2023-09-13,3200
2023-09-14,2500
2023-09-15,3000
2023-09-16,3000
2023-09-17,3500
2023-09-18,3200
2023-09-19,3000
2023-09-20,2500
2023-09-21,3000
2023-09-22,3500
2023-09-23,3000
2023-09-24,3000
2023-09-25,2500
2023-09-26,3000
2023-09-27,7000
2023-09-28,5000
2023-09-29,3000
2023-09-30,3000
2023-10-01,2700
2023-10-02,1800
2023-10-03,1700
2023-10-04,4300
2023-10-05,4200
2023-10-06,4000
2023-10-07,2500
2023-10-08,3500
2023-10-09,4000
2023-10-10,5000
2023-10-11,2500
2023-10-12,2000
2023-10-13,1500
2023-10-14,5000
2023-10-15,7000
2023-10-16,2000
2023-10-17,2000
2023-10-18,5000
2023-10-19,2000
2023-10-20,2500
2023-10-21,3000
2023-10-22,3200
2023-10-23,3000
2023-10-24,2000
2023-10-25,2500
2023-10-26,3200
2023-10-27,3000
2023-10-28,2000
2023-10-29,2800
2023-10-30,3000
2023-10-31,3200
2023-11-01,2500
2023-11-02,3000
2023-11-03,4000
2023-11-04,3000
2023-11-05,4000
2023-11-06,3000
2023-11-07,3000
2023-11-08,5000
2023-11-09,3600
2023-11-10,3000
2023-11-11,3500
2023-11-12,4200
2023-11-13,4000
2023-11-14,3500
2023-11-15,3000
2023-11-16,3500
2023-11-17,3000
2023-11-18,3000
2023-11-19,4100
2023-11-20,3500
2023-11-21,3200
2023-11-22,3500
2023-11-23,3500
2023-11-24,4000
2023-11-25,5000
2023-11-26,1500
2023-11-27,2000
2023-11-28,2500
2023-11-29,3000
2023-11-30,3500
2023-12-01,3000
2023-12-02,4000
2023-12-03,2500
2023-12-04,3000
2023-12-05,2500
2023-12-06,3000
2023-12-07,2700
2023-12-08,2500
2023-12-09,3000
2023-12-10,3000
2023-12-11,3500
2023-12-12,2500
2023-12-13,3000
2023-12-14,3200
2023-12-15,2500
2023-12-16,3000
2023-12-17,3200
2023-12-18,2500
2023-12-19,2000
2023-12-20,2000
2023-12-21,2700
2023-12-22,2300
2023-12-23,2000
2023-12-24,3500
2023-12-25,3200
2023-12-26,3000
2023-12-27,2500
2023-12-28,3000
2023-12-29,3500
2023-12-30,3200
2023-12-31,2500
